,Cell,assigned_cluster
668,human2_lib2.final_cell_0110,ductal
669,human2_lib2.final_cell_0111,alpha
670,human2_lib2.final_cell_0112,activated_stellate
671,human2_lib2.final_cell_0113,beta
672,human2_lib2.final_cell_0114,alpha
673,human2_lib2.final_cell_0115,alpha
674,human2_lib2.final_cell_0116,alpha
675,human2_lib2.final_cell_0117,beta
676,human2_lib2.final_cell_0118,beta
677,human2_lib2.final_cell_0119,activated_stellate
678,human2_lib2.final_cell_0120,macrophage
679,human2_lib2.final_cell_0121,ductal
680,human2_lib2.final_cell_0122,beta
681,human2_lib2.final_cell_0123,beta
682,human2_lib2.final_cell_0124,alpha
683,human2_lib2.final_cell_0125,beta
684,human2_lib2.final_cell_0126,beta
685,human2_lib2.final_cell_0127,ductal
686,human2_lib2.final_cell_0128,alpha
687,human2_lib2.final_cell_0129,delta
688,human2_lib2.final_cell_0130,beta
689,human2_lib2.final_cell_0131,beta
690,human2_lib2.final_cell_0132,alpha
691,human2_lib2.final_cell_0133,beta
692,human2_lib2.final_cell_0134,alpha
693,human2_lib2.final_cell_0135,beta
694,human2_lib2.final_cell_0136,ductal
695,human2_lib2.final_cell_0137,beta
696,human2_lib2.final_cell_0138,alpha
697,human2_lib2.final_cell_0139,alpha
698,human2_lib2.final_cell_0140,delta
699,human2_lib2.final_cell_0141,beta
700,human2_lib2.final_cell_0142,beta
701,human2_lib2.final_cell_0143,alpha
702,human2_lib2.final_cell_0144,macrophage
703,human2_lib2.final_cell_0145,activated_stellate
704,human2_lib2.final_cell_0146,ductal
705,human2_lib2.final_cell_0147,beta
706,human2_lib2.final_cell_0148,alpha
707,human2_lib2.final_cell_0149,delta
708,human2_lib2.final_cell_0150,macrophage
709,human2_lib2.final_cell_0151,delta
710,human2_lib2.final_cell_0152,alpha
711,human2_lib2.final_cell_0153,ductal
712,human2_lib2.final_cell_0154,acinar
713,human2_lib2.final_cell_0155,delta
714,human2_lib2.final_cell_0156,alpha
715,human2_lib2.final_cell_0157,ductal
716,human2_lib2.final_cell_0158,ductal
717,human2_lib2.final_cell_0159,alpha
718,human2_lib2.final_cell_0160,beta
719,human2_lib2.final_cell_0161,ductal
720,human2_lib2.final_cell_0162,ductal
721,human2_lib2.final_cell_0163,alpha
722,human2_lib2.final_cell_0164,alpha
723,human2_lib2.final_cell_0165,delta
724,human2_lib2.final_cell_0166,delta
725,human2_lib2.final_cell_0167,alpha
726,human2_lib2.final_cell_0168,alpha
727,human2_lib2.final_cell_0169,ductal
728,human2_lib2.final_cell_0170,alpha
729,human2_lib2.final_cell_0171,alpha
730,human2_lib2.final_cell_0172,delta
731,human2_lib2.final_cell_0173,alpha
732,human2_lib2.final_cell_0174,beta
733,human2_lib2.final_cell_0175,beta
734,human2_lib2.final_cell_0176,alpha
735,human2_lib2.final_cell_0177,ductal
736,human2_lib2.final_cell_0178,delta
737,human2_lib2.final_cell_0179,alpha
738,human2_lib2.final_cell_0180,activated_stellate
739,human2_lib2.final_cell_0181,delta
740,human2_lib2.final_cell_0182,beta
741,human2_lib2.final_cell_0183,gamma
742,human2_lib2.final_cell_0184,delta
743,human2_lib2.final_cell_0185,gamma
744,human2_lib2.final_cell_0186,beta
745,human2_lib2.final_cell_0187,ductal
746,human2_lib2.final_cell_0188,alpha
747,human2_lib2.final_cell_0189,ductal
748,human2_lib2.final_cell_0190,alpha
749,human2_lib2.final_cell_0191,ductal
750,human2_lib2.final_cell_0192,beta
751,human2_lib2.final_cell_0193,ductal
752,human2_lib2.final_cell_0194,alpha
753,human2_lib2.final_cell_0195,beta
754,human2_lib2.final_cell_0196,beta
755,human2_lib2.final_cell_0197,ductal
756,human2_lib2.final_cell_0198,beta
757,human2_lib2.final_cell_0199,alpha
758,human2_lib2.final_cell_0200,ductal
759,human2_lib2.final_cell_0201,activated_stellate
760,human2_lib2.final_cell_0202,alpha
761,human2_lib2.final_cell_0203,beta
762,human2_lib2.final_cell_0204,beta
763,human2_lib2.final_cell_0205,ductal
764,human2_lib2.final_cell_0206,alpha
765,human2_lib2.final_cell_0207,ductal
766,human2_lib2.final_cell_0208,alpha
767,human2_lib2.final_cell_0209,alpha
768,human2_lib2.final_cell_0210,alpha
769,human2_lib2.final_cell_0211,alpha
770,human2_lib2.final_cell_0212,alpha
771,human2_lib2.final_cell_0213,beta
772,human2_lib2.final_cell_0214,ductal
773,human2_lib2.final_cell_0215,alpha
774,human2_lib2.final_cell_0216,alpha
775,human2_lib2.final_cell_0217,alpha
776,human2_lib2.final_cell_0218,ductal
777,human2_lib2.final_cell_0219,beta
778,human2_lib2.final_cell_0220,ductal
779,human2_lib2.final_cell_0221,activated_stellate
780,human2_lib2.final_cell_0222,alpha
781,human2_lib2.final_cell_0223,beta
782,human2_lib2.final_cell_0224,alpha
783,human2_lib2.final_cell_0225,alpha
784,human2_lib2.final_cell_0226,ductal
785,human2_lib2.final_cell_0227,alpha
786,human2_lib2.final_cell_0228,alpha
787,human2_lib2.final_cell_0229,beta
788,human2_lib2.final_cell_0230,beta
789,human2_lib2.final_cell_0231,beta
790,human2_lib2.final_cell_0232,beta
791,human2_lib2.final_cell_0233,ductal
792,human2_lib2.final_cell_0234,macrophage
793,human2_lib2.final_cell_0235,alpha
794,human2_lib2.final_cell_0236,ductal
795,human2_lib2.final_cell_0237,alpha
796,human2_lib2.final_cell_0238,beta
797,human2_lib2.final_cell_0239,beta
798,human2_lib2.final_cell_0240,ductal
799,human2_lib2.final_cell_0241,beta
800,human2_lib2.final_cell_0242,delta
801,human2_lib2.final_cell_0243,quiescent_stellate
802,human2_lib2.final_cell_0244,alpha
803,human2_lib2.final_cell_0245,alpha
804,human2_lib2.final_cell_0246,beta
805,human2_lib2.final_cell_0247,ductal
806,human2_lib2.final_cell_0248,beta
807,human2_lib2.final_cell_0249,alpha
808,human2_lib2.final_cell_0250,beta
809,human2_lib2.final_cell_0251,alpha
810,human2_lib2.final_cell_0252,beta
811,human2_lib2.final_cell_0253,beta
812,human2_lib2.final_cell_0254,beta
813,human2_lib2.final_cell_0255,beta
814,human2_lib2.final_cell_0256,alpha
815,human2_lib2.final_cell_0257,alpha
816,human2_lib2.final_cell_0258,beta
817,human2_lib2.final_cell_0259,alpha
818,human2_lib2.final_cell_0260,delta
819,human2_lib2.final_cell_0261,alpha
820,human2_lib2.final_cell_0262,beta
821,human2_lib2.final_cell_0263,schwann
822,human2_lib2.final_cell_0264,beta
823,human2_lib2.final_cell_0265,beta
824,human2_lib2.final_cell_0266,alpha
825,human2_lib2.final_cell_0267,alpha
826,human2_lib2.final_cell_0268,alpha
827,human2_lib2.final_cell_0269,beta
828,human2_lib2.final_cell_0270,alpha
829,human2_lib2.final_cell_0271,beta
830,human2_lib2.final_cell_0272,ductal
831,human2_lib2.final_cell_0273,ductal
832,human2_lib2.final_cell_0274,gamma
833,human2_lib2.final_cell_0275,beta
834,human2_lib2.final_cell_0276,alpha
835,human2_lib2.final_cell_0277,ductal
836,human2_lib2.final_cell_0278,beta
837,human2_lib2.final_cell_0279,ductal
838,human2_lib2.final_cell_0280,ductal
839,human2_lib2.final_cell_0281,alpha
840,human2_lib2.final_cell_0282,activated_stellate
841,human2_lib2.final_cell_0283,delta
842,human2_lib2.final_cell_0284,beta
843,human2_lib2.final_cell_0285,beta
844,human2_lib2.final_cell_0286,beta
845,human2_lib2.final_cell_0287,alpha
846,human2_lib2.final_cell_0288,alpha
847,human2_lib2.final_cell_0289,alpha
848,human2_lib2.final_cell_0290,activated_stellate
849,human2_lib2.final_cell_0291,alpha
850,human2_lib2.final_cell_0292,alpha
851,human2_lib2.final_cell_0293,alpha
852,human2_lib2.final_cell_0294,alpha
853,human2_lib2.final_cell_0295,alpha
854,human2_lib2.final_cell_0296,delta
855,human2_lib2.final_cell_0297,alpha
856,human2_lib2.final_cell_0298,gamma
857,human2_lib2.final_cell_0299,alpha
858,human2_lib2.final_cell_0300,alpha
859,human2_lib2.final_cell_0301,gamma
860,human2_lib2.final_cell_0302,alpha
861,human2_lib2.final_cell_0303,alpha
862,human2_lib2.final_cell_0304,alpha
863,human2_lib2.final_cell_0305,alpha
864,human2_lib2.final_cell_0306,ductal
865,human2_lib2.final_cell_0307,alpha
866,human2_lib2.final_cell_0308,activated_stellate
867,human2_lib2.final_cell_0309,alpha
868,human2_lib2.final_cell_0310,delta
869,human2_lib2.final_cell_0311,alpha
870,human2_lib2.final_cell_0312,alpha
871,human2_lib2.final_cell_0313,alpha
872,human2_lib2.final_cell_0314,ductal
873,human2_lib2.final_cell_0315,delta
874,human2_lib2.final_cell_0316,alpha
875,human2_lib2.final_cell_0317,alpha
876,human2_lib2.final_cell_0318,alpha
877,human2_lib2.final_cell_0319,alpha
878,human2_lib2.final_cell_0320,beta
879,human2_lib2.final_cell_0321,beta
880,human2_lib2.final_cell_0322,alpha
881,human2_lib2.final_cell_0323,activated_stellate
882,human2_lib2.final_cell_0324,alpha
883,human2_lib2.final_cell_0325,beta
884,human2_lib2.final_cell_0326,alpha
885,human2_lib2.final_cell_0327,beta
886,human2_lib2.final_cell_0328,beta
887,human2_lib2.final_cell_0329,alpha
888,human2_lib2.final_cell_0330,alpha
889,human2_lib2.final_cell_0331,activated_stellate
890,human2_lib2.final_cell_0332,beta
891,human2_lib2.final_cell_0333,alpha
892,human2_lib2.final_cell_0334,beta
893,human2_lib2.final_cell_0335,delta
894,human2_lib2.final_cell_0336,beta
895,human2_lib2.final_cell_0337,alpha
896,human2_lib2.final_cell_0338,beta
897,human2_lib2.final_cell_0339,gamma
898,human2_lib2.final_cell_0340,alpha
899,human2_lib2.final_cell_0341,alpha
900,human2_lib2.final_cell_0342,alpha
901,human2_lib2.final_cell_0343,beta
902,human2_lib2.final_cell_0344,beta
903,human2_lib2.final_cell_0345,beta
904,human2_lib2.final_cell_0346,activated_stellate
905,human2_lib2.final_cell_0347,endothelial
906,human2_lib2.final_cell_0348,macrophage
907,human2_lib2.final_cell_0349,alpha
908,human2_lib2.final_cell_0350,alpha
909,human2_lib2.final_cell_0351,gamma
910,human2_lib2.final_cell_0352,alpha
911,human2_lib2.final_cell_0353,endothelial
912,human2_lib2.final_cell_0354,alpha
913,human2_lib2.final_cell_0355,alpha
914,human2_lib2.final_cell_0356,alpha
915,human2_lib2.final_cell_0357,beta
916,human2_lib2.final_cell_0358,quiescent_stellate
917,human2_lib2.final_cell_0359,beta
918,human2_lib2.final_cell_0360,alpha
919,human2_lib2.final_cell_0361,ductal
920,human2_lib2.final_cell_0362,ductal
921,human2_lib2.final_cell_0363,alpha
922,human2_lib2.final_cell_0364,alpha
923,human2_lib2.final_cell_0365,ductal
924,human2_lib2.final_cell_0366,beta
925,human2_lib2.final_cell_0367,alpha
926,human2_lib2.final_cell_0368,alpha
927,human2_lib2.final_cell_0369,ductal
928,human2_lib2.final_cell_0370,beta
929,human2_lib2.final_cell_0371,endothelial
930,human2_lib2.final_cell_0372,alpha
931,human2_lib2.final_cell_0373,alpha
932,human2_lib2.final_cell_0374,alpha
933,human2_lib2.final_cell_0375,activated_stellate
934,human2_lib2.final_cell_0376,ductal
935,human2_lib2.final_cell_0377,alpha
936,human2_lib2.final_cell_0378,gamma
937,human2_lib2.final_cell_0379,alpha
938,human2_lib2.final_cell_0380,alpha
939,human2_lib2.final_cell_0381,ductal
940,human2_lib2.final_cell_0382,quiescent_stellate
941,human2_lib2.final_cell_0383,ductal
942,human2_lib2.final_cell_0384,ductal
943,human2_lib2.final_cell_0385,alpha
944,human2_lib2.final_cell_0386,activated_stellate
945,human2_lib2.final_cell_0387,gamma
946,human2_lib2.final_cell_0388,ductal
947,human2_lib2.final_cell_0389,endothelial
948,human2_lib2.final_cell_0390,alpha
949,human2_lib2.final_cell_0391,ductal
950,human2_lib2.final_cell_0392,beta
951,human2_lib2.final_cell_0393,ductal
952,human2_lib2.final_cell_0394,macrophage
953,human2_lib2.final_cell_0395,alpha
954,human2_lib2.final_cell_0396,alpha
955,human2_lib2.final_cell_0397,beta
956,human2_lib2.final_cell_0398,beta
957,human2_lib2.final_cell_0399,beta
958,human2_lib2.final_cell_0400,alpha
959,human2_lib2.final_cell_0401,activated_stellate
960,human2_lib2.final_cell_0402,alpha
961,human2_lib2.final_cell_0403,ductal
962,human2_lib2.final_cell_0404,alpha
963,human2_lib2.final_cell_0405,alpha
964,human2_lib2.final_cell_0406,alpha
965,human2_lib2.final_cell_0407,alpha
966,human2_lib2.final_cell_0408,gamma
967,human2_lib2.final_cell_0409,beta
968,human2_lib2.final_cell_0410,ductal
969,human2_lib2.final_cell_0411,beta
970,human2_lib2.final_cell_0412,alpha
971,human2_lib2.final_cell_0413,beta
972,human2_lib2.final_cell_0414,alpha
973,human2_lib2.final_cell_0415,alpha
974,human2_lib2.final_cell_0416,beta
975,human2_lib2.final_cell_0417,alpha
976,human2_lib2.final_cell_0418,alpha
977,human2_lib2.final_cell_0419,gamma
978,human2_lib2.final_cell_0420,ductal
979,human2_lib2.final_cell_0421,beta
980,human2_lib2.final_cell_0422,alpha
981,human2_lib2.final_cell_0423,alpha
982,human2_lib2.final_cell_0424,alpha
983,human2_lib2.final_cell_0425,alpha
984,human2_lib2.final_cell_0426,gamma
985,human2_lib2.final_cell_0427,delta
986,human2_lib2.final_cell_0428,alpha
987,human2_lib2.final_cell_0429,activated_stellate
988,human2_lib2.final_cell_0430,macrophage
989,human2_lib2.final_cell_0431,beta
990,human2_lib2.final_cell_0432,beta
991,human2_lib2.final_cell_0433,alpha
992,human2_lib2.final_cell_0434,gamma
993,human2_lib2.final_cell_0435,beta
994,human2_lib2.final_cell_0436,alpha
995,human2_lib2.final_cell_0437,alpha
996,human2_lib2.final_cell_0438,ductal
997,human2_lib2.final_cell_0439,beta
998,human2_lib2.final_cell_0440,beta
999,human2_lib2.final_cell_0441,alpha
1000,human2_lib2.final_cell_0442,alpha
1001,human2_lib2.final_cell_0443,ductal
1002,human2_lib2.final_cell_0444,alpha
1003,human2_lib2.final_cell_0445,alpha
1004,human2_lib2.final_cell_0446,alpha
1005,human2_lib2.final_cell_0447,alpha
1006,human2_lib2.final_cell_0448,activated_stellate
1007,human2_lib2.final_cell_0449,alpha
1008,human2_lib2.final_cell_0450,alpha
1009,human2_lib2.final_cell_0451,alpha
1010,human2_lib2.final_cell_0452,alpha
1011,human2_lib2.final_cell_0453,gamma
1012,human2_lib2.final_cell_0454,beta
1013,human2_lib2.final_cell_0455,alpha
1014,human2_lib2.final_cell_0456,alpha
1015,human2_lib2.final_cell_0457,alpha
1016,human2_lib2.final_cell_0458,beta
1017,human2_lib2.final_cell_0459,beta
1018,human2_lib2.final_cell_0460,alpha
1019,human2_lib2.final_cell_0461,alpha
1020,human2_lib2.final_cell_0462,quiescent_stellate
1021,human2_lib2.final_cell_0463,ductal
1022,human2_lib2.final_cell_0464,alpha
1023,human2_lib2.final_cell_0465,beta
1024,human2_lib2.final_cell_0466,alpha
1025,human2_lib2.final_cell_0467,beta
1026,human2_lib2.final_cell_0468,ductal
1027,human2_lib2.final_cell_0469,beta
1028,human2_lib2.final_cell_0470,alpha
1029,human2_lib2.final_cell_0471,alpha
1030,human2_lib2.final_cell_0472,gamma
1031,human2_lib2.final_cell_0473,alpha
1032,human2_lib2.final_cell_0474,alpha
1033,human2_lib2.final_cell_0475,beta
1034,human2_lib2.final_cell_0476,activated_stellate
1035,human2_lib2.final_cell_0477,alpha
1036,human2_lib2.final_cell_0478,endothelial
1037,human2_lib2.final_cell_0479,alpha
1038,human2_lib2.final_cell_0480,alpha
1039,human2_lib2.final_cell_0481,alpha
1040,human2_lib2.final_cell_0482,alpha
1041,human2_lib2.final_cell_0483,beta
1042,human2_lib2.final_cell_0484,alpha
1043,human2_lib2.final_cell_0485,beta
1044,human2_lib2.final_cell_0486,alpha
1045,human2_lib2.final_cell_0487,alpha
1046,human2_lib2.final_cell_0488,gamma
1047,human2_lib2.final_cell_0489,alpha
1048,human2_lib2.final_cell_0490,alpha
1049,human2_lib2.final_cell_0491,alpha
1050,human2_lib2.final_cell_0492,alpha
1051,human2_lib2.final_cell_0493,alpha
1052,human2_lib2.final_cell_0494,alpha
1053,human2_lib2.final_cell_0495,alpha
1054,human2_lib2.final_cell_0496,beta
1055,human2_lib2.final_cell_0497,alpha
1056,human2_lib2.final_cell_0498,alpha
1057,human2_lib2.final_cell_0499,ductal
1058,human2_lib2.final_cell_0500,activated_stellate
1059,human2_lib2.final_cell_0501,ductal
1060,human2_lib2.final_cell_0502,alpha
1061,human2_lib2.final_cell_0503,alpha
1062,human2_lib2.final_cell_0504,mast
1063,human2_lib2.final_cell_0505,alpha
1064,human2_lib2.final_cell_0506,alpha
1065,human2_lib2.final_cell_0507,beta
1066,human2_lib2.final_cell_0508,beta
1067,human2_lib2.final_cell_0509,beta
1068,human2_lib2.final_cell_0510,ductal
1069,human2_lib2.final_cell_0511,beta
1070,human2_lib2.final_cell_0512,alpha
1071,human2_lib2.final_cell_0513,beta
1072,human2_lib2.final_cell_0514,ductal
1073,human2_lib2.final_cell_0515,alpha
1074,human2_lib2.final_cell_0516,schwann
1075,human2_lib2.final_cell_0517,alpha
1076,human2_lib2.final_cell_0518,alpha
1077,human2_lib2.final_cell_0519,beta
1078,human2_lib2.final_cell_0520,gamma
1079,human2_lib2.final_cell_0521,beta
1080,human2_lib2.final_cell_0522,ductal
1081,human2_lib2.final_cell_0523,ductal
1082,human2_lib2.final_cell_0524,alpha
1083,human2_lib2.final_cell_0525,gamma
1084,human2_lib2.final_cell_0526,mast
1085,human2_lib2.final_cell_0527,gamma
1086,human2_lib2.final_cell_0528,mast
1087,human2_lib2.final_cell_0529,alpha
1088,human2_lib2.final_cell_0530,ductal
1089,human2_lib2.final_cell_0531,gamma
1090,human2_lib2.final_cell_0532,alpha
1091,human2_lib2.final_cell_0533,alpha
1092,human2_lib2.final_cell_0534,alpha
1093,human2_lib2.final_cell_0535,alpha
1094,human2_lib2.final_cell_0536,ductal
1095,human2_lib2.final_cell_0537,alpha
1096,human2_lib2.final_cell_0538,alpha
1097,human2_lib2.final_cell_0539,alpha
1098,human2_lib2.final_cell_0540,mast
1099,human2_lib2.final_cell_0541,alpha
1100,human2_lib2.final_cell_0542,alpha
1101,human2_lib2.final_cell_0543,quiescent_stellate
1102,human2_lib2.final_cell_0544,beta
1103,human2_lib2.final_cell_0545,alpha
1104,human2_lib2.final_cell_0546,beta
1105,human2_lib2.final_cell_0547,alpha
1106,human2_lib2.final_cell_0548,alpha
1107,human2_lib2.final_cell_0549,gamma
1108,human2_lib2.final_cell_0550,gamma
1109,human2_lib2.final_cell_0551,ductal
1110,human2_lib2.final_cell_0552,alpha
1111,human2_lib2.final_cell_0553,activated_stellate
1112,human2_lib2.final_cell_0554,alpha
1113,human2_lib2.final_cell_0555,ductal
1114,human2_lib2.final_cell_0556,delta
1115,human2_lib2.final_cell_0557,alpha
1116,human2_lib2.final_cell_0558,alpha
1117,human2_lib2.final_cell_0559,activated_stellate
1118,human2_lib2.final_cell_0560,beta
1119,human2_lib2.final_cell_0561,alpha
1120,human2_lib2.final_cell_0562,quiescent_stellate
1121,human2_lib2.final_cell_0563,ductal
1122,human2_lib2.final_cell_0564,alpha
1123,human2_lib2.final_cell_0565,quiescent_stellate
1124,human2_lib2.final_cell_0566,ductal
1125,human2_lib2.final_cell_0567,alpha
1126,human2_lib2.final_cell_0568,activated_stellate
1127,human2_lib2.final_cell_0569,beta
1128,human2_lib2.final_cell_0570,beta
1129,human2_lib2.final_cell_0571,activated_stellate
1130,human2_lib2.final_cell_0572,alpha
1131,human2_lib2.final_cell_0573,alpha
1132,human2_lib2.final_cell_0574,ductal
1133,human2_lib2.final_cell_0575,beta
1134,human2_lib2.final_cell_0576,beta
1135,human2_lib2.final_cell_0577,alpha
1136,human2_lib2.final_cell_0578,schwann
1137,human2_lib2.final_cell_0579,gamma
1138,human2_lib2.final_cell_0580,ductal
1139,human2_lib2.final_cell_0581,alpha
1140,human2_lib2.final_cell_0582,t_cell
1141,human2_lib2.final_cell_0583,schwann
1142,human2_lib2.final_cell_0584,beta
1143,human2_lib2.final_cell_0585,gamma
1144,human2_lib2.final_cell_0586,beta
1145,human2_lib2.final_cell_0587,beta
1146,human2_lib2.final_cell_0588,beta
1147,human2_lib2.final_cell_0589,beta
1148,human2_lib2.final_cell_0590,t_cell
1149,human2_lib2.final_cell_0591,beta
1150,human2_lib2.final_cell_0592,beta
1151,human2_lib2.final_cell_0593,alpha
1152,human2_lib2.final_cell_0594,beta
1153,human2_lib2.final_cell_0595,alpha
1154,human2_lib2.final_cell_0596,ductal
1155,human2_lib2.final_cell_0597,beta
1156,human2_lib2.final_cell_0598,alpha
1157,human2_lib2.final_cell_0599,ductal
1158,human2_lib2.final_cell_0600,alpha
1159,human2_lib3.final_cell_0001,beta
1160,human2_lib3.final_cell_0002,delta
1161,human2_lib3.final_cell_0003,delta
1162,human2_lib3.final_cell_0004,beta
1163,human2_lib3.final_cell_0005,ductal
1164,human2_lib3.final_cell_0006,alpha
1165,human2_lib3.final_cell_0007,beta
1166,human2_lib3.final_cell_0008,ductal
1167,human2_lib3.final_cell_0009,alpha
1168,human2_lib3.final_cell_0010,delta
1169,human2_lib3.final_cell_0011,ductal
1170,human2_lib3.final_cell_0012,alpha
1171,human2_lib3.final_cell_0013,ductal
1172,human2_lib3.final_cell_0014,delta
1173,human2_lib3.final_cell_0015,ductal
1174,human2_lib3.final_cell_0016,alpha
1175,human2_lib3.final_cell_0017,ductal
1176,human2_lib3.final_cell_0018,ductal
1177,human2_lib3.final_cell_0019,delta
1178,human2_lib3.final_cell_0020,delta
1179,human2_lib3.final_cell_0021,alpha
1180,human2_lib3.final_cell_0022,beta
1181,human2_lib3.final_cell_0023,delta
1182,human2_lib3.final_cell_0024,delta
1183,human2_lib3.final_cell_0025,beta
1184,human2_lib3.final_cell_0026,delta
1185,human2_lib3.final_cell_0027,ductal
1186,human2_lib3.final_cell_0028,ductal
1187,human2_lib3.final_cell_0029,ductal
1188,human2_lib3.final_cell_0030,ductal
1189,human2_lib3.final_cell_0031,delta
1190,human2_lib3.final_cell_0032,alpha
1191,human2_lib3.final_cell_0033,delta
1192,human2_lib3.final_cell_0034,alpha
1193,human2_lib3.final_cell_0035,beta
1194,human2_lib3.final_cell_0036,ductal
1195,human2_lib3.final_cell_0037,epsilon
1196,human2_lib3.final_cell_0038,alpha
1197,human2_lib3.final_cell_0039,delta
1198,human2_lib3.final_cell_0040,alpha
1199,human2_lib3.final_cell_0041,delta
1200,human2_lib3.final_cell_0042,alpha
1201,human2_lib3.final_cell_0043,delta
1202,human2_lib3.final_cell_0044,activated_stellate
1203,human2_lib3.final_cell_0045,alpha
1204,human2_lib3.final_cell_0046,alpha
1205,human2_lib3.final_cell_0047,delta
1206,human2_lib3.final_cell_0048,delta
1207,human2_lib3.final_cell_0049,beta
1208,human2_lib3.final_cell_0050,beta
1209,human2_lib3.final_cell_0051,alpha
1210,human2_lib3.final_cell_0052,alpha
1211,human2_lib3.final_cell_0053,beta
1212,human2_lib3.final_cell_0054,delta
1213,human2_lib3.final_cell_0055,alpha
1214,human2_lib3.final_cell_0056,alpha
1215,human2_lib3.final_cell_0057,activated_stellate
1216,human2_lib3.final_cell_0058,ductal
1217,human2_lib3.final_cell_0059,alpha
1218,human2_lib3.final_cell_0060,beta
1219,human2_lib3.final_cell_0061,alpha
1220,human2_lib3.final_cell_0062,activated_stellate
1221,human2_lib3.final_cell_0063,alpha
1222,human2_lib3.final_cell_0064,ductal
1223,human2_lib3.final_cell_0065,alpha
1224,human2_lib3.final_cell_0066,acinar
1225,human2_lib3.final_cell_0067,alpha
1226,human2_lib3.final_cell_0068,beta
1227,human2_lib3.final_cell_0069,delta
1228,human2_lib3.final_cell_0070,alpha
1229,human2_lib3.final_cell_0071,alpha
1230,human2_lib3.final_cell_0072,alpha
1231,human2_lib3.final_cell_0073,alpha
1232,human2_lib3.final_cell_0074,alpha
1233,human2_lib3.final_cell_0075,alpha
1234,human2_lib3.final_cell_0076,macrophage
1235,human2_lib3.final_cell_0077,macrophage
1236,human2_lib3.final_cell_0078,ductal
1237,human2_lib3.final_cell_0079,beta
1238,human2_lib3.final_cell_0080,ductal
1239,human2_lib3.final_cell_0081,ductal
1240,human2_lib3.final_cell_0082,alpha
1241,human2_lib3.final_cell_0083,alpha
1242,human2_lib3.final_cell_0084,alpha
1243,human2_lib3.final_cell_0085,alpha
1244,human2_lib3.final_cell_0086,ductal
1245,human2_lib3.final_cell_0087,delta
1246,human2_lib3.final_cell_0088,delta
1247,human2_lib3.final_cell_0089,beta
1248,human2_lib3.final_cell_0090,alpha
1249,human2_lib3.final_cell_0091,ductal
1250,human2_lib3.final_cell_0092,ductal
1251,human2_lib3.final_cell_0093,beta
1252,human2_lib3.final_cell_0094,alpha
1253,human2_lib3.final_cell_0095,delta
1254,human2_lib3.final_cell_0096,beta
1255,human2_lib3.final_cell_0097,quiescent_stellate
1256,human2_lib3.final_cell_0098,delta
1257,human2_lib3.final_cell_0099,quiescent_stellate
1258,human2_lib3.final_cell_0100,activated_stellate
1259,human2_lib3.final_cell_0101,alpha
1260,human2_lib3.final_cell_0102,activated_stellate
1261,human2_lib3.final_cell_0103,ductal
1262,human2_lib3.final_cell_0104,alpha
1263,human2_lib3.final_cell_0105,alpha
1264,human2_lib3.final_cell_0106,beta
1265,human2_lib3.final_cell_0107,beta
1266,human2_lib3.final_cell_0108,activated_stellate
1267,human2_lib3.final_cell_0109,beta
1268,human2_lib3.final_cell_0110,beta
1269,human2_lib3.final_cell_0111,ductal
1270,human2_lib3.final_cell_0112,ductal
1271,human2_lib3.final_cell_0113,alpha
1272,human2_lib3.final_cell_0114,ductal
1273,human2_lib3.final_cell_0115,ductal
1274,human2_lib3.final_cell_0116,alpha
1275,human2_lib3.final_cell_0117,activated_stellate
1276,human2_lib3.final_cell_0118,alpha
1277,human2_lib3.final_cell_0119,ductal
1278,human2_lib3.final_cell_0120,beta
1279,human2_lib3.final_cell_0121,beta
1280,human2_lib3.final_cell_0122,alpha
1281,human2_lib3.final_cell_0123,delta
1282,human2_lib3.final_cell_0124,activated_stellate
1283,human2_lib3.final_cell_0125,ductal
1284,human2_lib3.final_cell_0126,beta
1285,human2_lib3.final_cell_0127,alpha
1286,human2_lib3.final_cell_0128,alpha
1287,human2_lib3.final_cell_0129,alpha
1288,human2_lib3.final_cell_0130,alpha
1289,human2_lib3.final_cell_0131,activated_stellate
1290,human2_lib3.final_cell_0132,beta
1291,human2_lib3.final_cell_0133,beta
1292,human2_lib3.final_cell_0134,beta
1293,human2_lib3.final_cell_0135,alpha
1294,human2_lib3.final_cell_0136,beta
1295,human2_lib3.final_cell_0137,delta
1296,human2_lib3.final_cell_0138,alpha
1297,human2_lib3.final_cell_0139,alpha
1298,human2_lib3.final_cell_0140,alpha
1299,human2_lib3.final_cell_0141,beta
1300,human2_lib3.final_cell_0142,alpha
1301,human2_lib3.final_cell_0143,alpha
1302,human2_lib3.final_cell_0144,ductal
1303,human2_lib3.final_cell_0145,beta
1304,human2_lib3.final_cell_0146,alpha
1305,human2_lib3.final_cell_0147,macrophage
1306,human2_lib3.final_cell_0148,ductal
1307,human2_lib3.final_cell_0149,delta
1308,human2_lib3.final_cell_0150,alpha
1309,human2_lib3.final_cell_0151,beta
1310,human2_lib3.final_cell_0152,alpha
1311,human2_lib3.final_cell_0153,alpha
1312,human2_lib3.final_cell_0154,alpha
1313,human2_lib3.final_cell_0155,activated_stellate
1314,human2_lib3.final_cell_0156,ductal
1315,human2_lib3.final_cell_0157,alpha
1316,human2_lib3.final_cell_0158,ductal
1317,human2_lib3.final_cell_0159,delta
1318,human2_lib3.final_cell_0160,beta
1319,human2_lib3.final_cell_0161,delta
