,Cell,assigned_cluster
675,human4_lib3.final_cell_0074,delta
676,human4_lib3.final_cell_0075,ductal
677,human4_lib3.final_cell_0076,ductal
678,human4_lib3.final_cell_0077,beta
679,human4_lib3.final_cell_0078,beta
680,human4_lib3.final_cell_0079,ductal
681,human4_lib3.final_cell_0080,delta
682,human4_lib3.final_cell_0081,beta
683,human4_lib3.final_cell_0082,alpha
684,human4_lib3.final_cell_0083,delta
685,human4_lib3.final_cell_0084,gamma
686,human4_lib3.final_cell_0085,beta
687,human4_lib3.final_cell_0086,ductal
688,human4_lib3.final_cell_0087,alpha
689,human4_lib3.final_cell_0088,alpha
690,human4_lib3.final_cell_0089,beta
691,human4_lib3.final_cell_0090,activated_stellate
692,human4_lib3.final_cell_0091,beta
693,human4_lib3.final_cell_0092,beta
694,human4_lib3.final_cell_0093,delta
695,human4_lib3.final_cell_0094,beta
696,human4_lib3.final_cell_0095,alpha
697,human4_lib3.final_cell_0096,ductal
698,human4_lib3.final_cell_0097,beta
699,human4_lib3.final_cell_0098,alpha
700,human4_lib3.final_cell_0099,beta
701,human4_lib3.final_cell_0100,ductal
702,human4_lib3.final_cell_0101,beta
703,human4_lib3.final_cell_0102,alpha
704,human4_lib3.final_cell_0103,beta
705,human4_lib3.final_cell_0104,ductal
706,human4_lib3.final_cell_0105,beta
707,human4_lib3.final_cell_0106,ductal
708,human4_lib3.final_cell_0107,delta
709,human4_lib3.final_cell_0108,beta
710,human4_lib3.final_cell_0109,alpha
711,human4_lib3.final_cell_0110,delta
712,human4_lib3.final_cell_0111,delta
713,human4_lib3.final_cell_0112,beta
714,human4_lib3.final_cell_0113,ductal
715,human4_lib3.final_cell_0114,alpha
716,human4_lib3.final_cell_0115,delta
717,human4_lib3.final_cell_0116,beta
718,human4_lib3.final_cell_0117,beta
719,human4_lib3.final_cell_0118,alpha
720,human4_lib3.final_cell_0119,quiescent_stellate
721,human4_lib3.final_cell_0120,alpha
722,human4_lib3.final_cell_0121,beta
723,human4_lib3.final_cell_0122,activated_stellate
724,human4_lib3.final_cell_0123,ductal
725,human4_lib3.final_cell_0124,alpha
726,human4_lib3.final_cell_0125,ductal
727,human4_lib3.final_cell_0126,beta
728,human4_lib3.final_cell_0127,alpha
729,human4_lib3.final_cell_0128,alpha
730,human4_lib3.final_cell_0129,ductal
731,human4_lib3.final_cell_0130,ductal
732,human4_lib3.final_cell_0131,ductal
733,human4_lib3.final_cell_0132,alpha
734,human4_lib3.final_cell_0133,alpha
735,human4_lib3.final_cell_0134,alpha
736,human4_lib3.final_cell_0135,beta
737,human4_lib3.final_cell_0136,beta
738,human4_lib3.final_cell_0137,delta
739,human4_lib3.final_cell_0138,ductal
740,human4_lib3.final_cell_0139,beta
741,human4_lib3.final_cell_0140,beta
742,human4_lib3.final_cell_0141,ductal
743,human4_lib3.final_cell_0142,beta
744,human4_lib3.final_cell_0143,beta
745,human4_lib3.final_cell_0144,ductal
746,human4_lib3.final_cell_0145,gamma
747,human4_lib3.final_cell_0146,ductal
748,human4_lib3.final_cell_0147,alpha
749,human4_lib3.final_cell_0148,delta
750,human4_lib3.final_cell_0149,beta
751,human4_lib3.final_cell_0150,beta
752,human4_lib3.final_cell_0151,beta
753,human4_lib3.final_cell_0152,beta
754,human4_lib3.final_cell_0153,alpha
755,human4_lib3.final_cell_0154,delta
756,human4_lib3.final_cell_0155,beta
757,human4_lib3.final_cell_0156,beta
758,human4_lib3.final_cell_0157,beta
759,human4_lib3.final_cell_0158,ductal
760,human4_lib3.final_cell_0159,ductal
761,human4_lib3.final_cell_0160,ductal
762,human4_lib3.final_cell_0161,delta
763,human4_lib3.final_cell_0162,beta
764,human4_lib3.final_cell_0163,alpha
765,human4_lib3.final_cell_0164,alpha
766,human4_lib3.final_cell_0165,delta
767,human4_lib3.final_cell_0166,ductal
768,human4_lib3.final_cell_0167,ductal
769,human4_lib3.final_cell_0168,beta
770,human4_lib3.final_cell_0169,beta
771,human4_lib3.final_cell_0170,alpha
772,human4_lib3.final_cell_0171,gamma
773,human4_lib3.final_cell_0172,beta
774,human4_lib3.final_cell_0173,alpha
775,human4_lib3.final_cell_0174,delta
776,human4_lib3.final_cell_0175,alpha
777,human4_lib3.final_cell_0176,beta
778,human4_lib3.final_cell_0177,delta
779,human4_lib3.final_cell_0178,ductal
780,human4_lib3.final_cell_0179,ductal
781,human4_lib3.final_cell_0180,beta
782,human4_lib3.final_cell_0181,ductal
783,human4_lib3.final_cell_0182,beta
784,human4_lib3.final_cell_0183,alpha
785,human4_lib3.final_cell_0184,alpha
786,human4_lib3.final_cell_0185,ductal
787,human4_lib3.final_cell_0186,beta
788,human4_lib3.final_cell_0187,gamma
789,human4_lib3.final_cell_0188,alpha
790,human4_lib3.final_cell_0189,beta
791,human4_lib3.final_cell_0190,delta
792,human4_lib3.final_cell_0191,ductal
793,human4_lib3.final_cell_0192,beta
794,human4_lib3.final_cell_0193,alpha
795,human4_lib3.final_cell_0194,ductal
796,human4_lib3.final_cell_0195,alpha
797,human4_lib3.final_cell_0196,gamma
798,human4_lib3.final_cell_0197,beta
799,human4_lib3.final_cell_0198,beta
800,human4_lib3.final_cell_0199,beta
801,human4_lib3.final_cell_0200,ductal
802,human4_lib3.final_cell_0201,ductal
803,human4_lib3.final_cell_0202,beta
804,human4_lib3.final_cell_0203,gamma
805,human4_lib3.final_cell_0204,ductal
806,human4_lib3.final_cell_0205,alpha
807,human4_lib3.final_cell_0206,activated_stellate
808,human4_lib3.final_cell_0207,ductal
809,human4_lib3.final_cell_0208,gamma
810,human4_lib3.final_cell_0209,ductal
811,human4_lib3.final_cell_0210,alpha
812,human4_lib3.final_cell_0211,activated_stellate
813,human4_lib3.final_cell_0212,alpha
814,human4_lib3.final_cell_0213,beta
815,human4_lib3.final_cell_0214,beta
816,human4_lib3.final_cell_0215,macrophage
817,human4_lib3.final_cell_0216,ductal
818,human4_lib3.final_cell_0217,alpha
819,human4_lib3.final_cell_0218,delta
820,human4_lib3.final_cell_0219,beta
821,human4_lib3.final_cell_0220,ductal
822,human4_lib3.final_cell_0221,ductal
823,human4_lib3.final_cell_0222,ductal
824,human4_lib3.final_cell_0223,beta
825,human4_lib3.final_cell_0224,delta
826,human4_lib3.final_cell_0225,beta
827,human4_lib3.final_cell_0226,alpha
828,human4_lib3.final_cell_0227,ductal
829,human4_lib3.final_cell_0228,beta
830,human4_lib3.final_cell_0229,ductal
831,human4_lib3.final_cell_0230,activated_stellate
832,human4_lib3.final_cell_0231,alpha
833,human4_lib3.final_cell_0232,beta
834,human4_lib3.final_cell_0233,delta
835,human4_lib3.final_cell_0234,beta
836,human4_lib3.final_cell_0235,beta
837,human4_lib3.final_cell_0236,delta
838,human4_lib3.final_cell_0237,beta
839,human4_lib3.final_cell_0238,alpha
840,human4_lib3.final_cell_0239,alpha
841,human4_lib3.final_cell_0240,alpha
842,human4_lib3.final_cell_0241,ductal
843,human4_lib3.final_cell_0242,alpha
844,human4_lib3.final_cell_0243,alpha
845,human4_lib3.final_cell_0244,beta
846,human4_lib3.final_cell_0245,ductal
847,human4_lib3.final_cell_0246,ductal
848,human4_lib3.final_cell_0247,ductal
849,human4_lib3.final_cell_0248,alpha
850,human4_lib3.final_cell_0249,beta
851,human4_lib3.final_cell_0250,delta
852,human4_lib3.final_cell_0251,beta
853,human4_lib3.final_cell_0252,ductal
854,human4_lib3.final_cell_0253,beta
855,human4_lib3.final_cell_0254,ductal
856,human4_lib3.final_cell_0255,beta
857,human4_lib3.final_cell_0256,alpha
858,human4_lib3.final_cell_0257,beta
859,human4_lib3.final_cell_0258,beta
860,human4_lib3.final_cell_0259,ductal
861,human4_lib3.final_cell_0260,activated_stellate
862,human4_lib3.final_cell_0261,ductal
863,human4_lib3.final_cell_0262,beta
864,human4_lib3.final_cell_0263,ductal
865,human4_lib3.final_cell_0264,activated_stellate
866,human4_lib3.final_cell_0265,ductal
867,human4_lib3.final_cell_0266,beta
868,human4_lib3.final_cell_0267,beta
869,human4_lib3.final_cell_0268,beta
870,human4_lib3.final_cell_0269,delta
871,human4_lib3.final_cell_0270,alpha
872,human4_lib3.final_cell_0271,delta
873,human4_lib3.final_cell_0272,alpha
874,human4_lib3.final_cell_0273,ductal
875,human4_lib3.final_cell_0274,gamma
876,human4_lib3.final_cell_0275,gamma
877,human4_lib3.final_cell_0276,alpha
878,human4_lib3.final_cell_0277,ductal
879,human4_lib3.final_cell_0278,beta
880,human4_lib3.final_cell_0279,alpha
881,human4_lib3.final_cell_0280,alpha
882,human4_lib3.final_cell_0281,alpha
883,human4_lib3.final_cell_0282,ductal
884,human4_lib3.final_cell_0283,ductal
885,human4_lib3.final_cell_0284,beta
886,human4_lib3.final_cell_0285,beta
887,human4_lib3.final_cell_0286,ductal
888,human4_lib3.final_cell_0287,activated_stellate
889,human4_lib3.final_cell_0288,beta
890,human4_lib3.final_cell_0289,ductal
891,human4_lib3.final_cell_0290,ductal
892,human4_lib3.final_cell_0291,ductal
893,human4_lib3.final_cell_0292,acinar
894,human4_lib3.final_cell_0293,ductal
895,human4_lib3.final_cell_0294,gamma
896,human4_lib3.final_cell_0295,alpha
897,human4_lib3.final_cell_0296,ductal
898,human4_lib3.final_cell_0297,beta
899,human4_lib3.final_cell_0298,ductal
900,human4_lib3.final_cell_0299,gamma
901,human4_lib3.final_cell_0300,beta
902,human4_lib3.final_cell_0301,beta
903,human4_lib3.final_cell_0302,beta
904,human4_lib3.final_cell_0303,delta
905,human4_lib3.final_cell_0304,alpha
906,human4_lib3.final_cell_0305,beta
907,human4_lib3.final_cell_0306,beta
908,human4_lib3.final_cell_0307,beta
909,human4_lib3.final_cell_0308,activated_stellate
910,human4_lib3.final_cell_0309,ductal
911,human4_lib3.final_cell_0310,beta
912,human4_lib3.final_cell_0311,ductal
913,human4_lib3.final_cell_0312,beta
914,human4_lib3.final_cell_0313,beta
915,human4_lib3.final_cell_0314,gamma
916,human4_lib3.final_cell_0315,beta
917,human4_lib3.final_cell_0316,gamma
918,human4_lib3.final_cell_0317,ductal
919,human4_lib3.final_cell_0318,ductal
920,human4_lib3.final_cell_0319,beta
921,human4_lib3.final_cell_0320,beta
922,human4_lib3.final_cell_0321,alpha
923,human4_lib3.final_cell_0322,delta
924,human4_lib3.final_cell_0323,beta
925,human4_lib3.final_cell_0324,alpha
926,human4_lib3.final_cell_0325,ductal
927,human4_lib3.final_cell_0326,delta
928,human4_lib3.final_cell_0327,alpha
929,human4_lib3.final_cell_0328,ductal
930,human4_lib3.final_cell_0329,alpha
931,human4_lib3.final_cell_0330,ductal
932,human4_lib3.final_cell_0331,delta
933,human4_lib3.final_cell_0332,alpha
934,human4_lib3.final_cell_0333,alpha
935,human4_lib3.final_cell_0334,beta
936,human4_lib3.final_cell_0335,ductal
937,human4_lib3.final_cell_0336,ductal
938,human4_lib3.final_cell_0337,ductal
939,human4_lib3.final_cell_0338,beta
940,human4_lib3.final_cell_0339,ductal
941,human4_lib3.final_cell_0340,alpha
942,human4_lib3.final_cell_0341,beta
943,human4_lib3.final_cell_0342,ductal
944,human4_lib3.final_cell_0343,alpha
945,human4_lib3.final_cell_0344,beta
946,human4_lib3.final_cell_0345,gamma
947,human4_lib3.final_cell_0346,delta
948,human4_lib3.final_cell_0347,alpha
949,human4_lib3.final_cell_0348,ductal
950,human4_lib3.final_cell_0349,gamma
951,human4_lib3.final_cell_0350,ductal
952,human4_lib3.final_cell_0351,beta
953,human4_lib3.final_cell_0352,beta
954,human4_lib3.final_cell_0353,beta
955,human4_lib3.final_cell_0354,ductal
956,human4_lib3.final_cell_0355,alpha
957,human4_lib3.final_cell_0356,beta
958,human4_lib3.final_cell_0357,beta
959,human4_lib3.final_cell_0358,beta
960,human4_lib3.final_cell_0359,alpha
961,human4_lib3.final_cell_0360,alpha
962,human4_lib3.final_cell_0361,beta
963,human4_lib3.final_cell_0362,alpha
964,human4_lib3.final_cell_0363,alpha
965,human4_lib3.final_cell_0364,beta
966,human4_lib3.final_cell_0365,beta
967,human4_lib3.final_cell_0366,alpha
968,human4_lib3.final_cell_0367,beta
969,human4_lib3.final_cell_0368,beta
970,human4_lib3.final_cell_0369,alpha
971,human4_lib3.final_cell_0370,beta
972,human4_lib3.final_cell_0371,alpha
973,human4_lib3.final_cell_0372,delta
974,human4_lib3.final_cell_0373,beta
975,human4_lib3.final_cell_0374,beta
976,human4_lib3.final_cell_0375,alpha
977,human4_lib3.final_cell_0376,activated_stellate
978,human4_lib3.final_cell_0377,beta
979,human4_lib3.final_cell_0378,gamma
980,human4_lib3.final_cell_0379,alpha
981,human4_lib3.final_cell_0380,beta
982,human4_lib3.final_cell_0381,beta
983,human4_lib3.final_cell_0382,alpha
984,human4_lib3.final_cell_0383,alpha
985,human4_lib3.final_cell_0384,activated_stellate
986,human4_lib3.final_cell_0385,activated_stellate
987,human4_lib3.final_cell_0386,alpha
988,human4_lib3.final_cell_0387,beta
989,human4_lib3.final_cell_0388,alpha
990,human4_lib3.final_cell_0389,ductal
991,human4_lib3.final_cell_0390,ductal
992,human4_lib3.final_cell_0391,beta
993,human4_lib3.final_cell_0392,beta
994,human4_lib3.final_cell_0393,gamma
995,human4_lib3.final_cell_0394,gamma
996,human4_lib3.final_cell_0395,beta
997,human4_lib3.final_cell_0396,activated_stellate
998,human4_lib3.final_cell_0397,ductal
999,human4_lib3.final_cell_0398,beta
1000,human4_lib3.final_cell_0399,alpha
1001,human4_lib3.final_cell_0400,ductal
1002,human4_lib3.final_cell_0401,alpha
1003,human4_lib3.final_cell_0402,beta
1004,human4_lib3.final_cell_0403,beta
1005,human4_lib3.final_cell_0404,alpha
1006,human4_lib3.final_cell_0405,ductal
1007,human4_lib3.final_cell_0406,beta
1008,human4_lib3.final_cell_0407,alpha
1009,human4_lib3.final_cell_0408,alpha
1010,human4_lib3.final_cell_0409,gamma
1011,human4_lib3.final_cell_0410,delta
1012,human4_lib3.final_cell_0411,alpha
1013,human4_lib3.final_cell_0412,beta
1014,human4_lib3.final_cell_0413,ductal
1015,human4_lib3.final_cell_0414,beta
1016,human4_lib3.final_cell_0415,beta
1017,human4_lib3.final_cell_0416,ductal
1018,human4_lib3.final_cell_0417,beta
1019,human4_lib3.final_cell_0418,ductal
1020,human4_lib3.final_cell_0419,beta
1021,human4_lib3.final_cell_0420,beta
1022,human4_lib3.final_cell_0421,ductal
1023,human4_lib3.final_cell_0422,alpha
1024,human4_lib3.final_cell_0423,ductal
1025,human4_lib3.final_cell_0424,ductal
1026,human4_lib3.final_cell_0425,gamma
1027,human4_lib3.final_cell_0426,alpha
1028,human4_lib3.final_cell_0427,endothelial
1029,human4_lib3.final_cell_0428,ductal
1030,human4_lib3.final_cell_0429,beta
1031,human4_lib3.final_cell_0430,gamma
1032,human4_lib3.final_cell_0431,beta
1033,human4_lib3.final_cell_0432,ductal
1034,human4_lib3.final_cell_0433,alpha
1035,human4_lib3.final_cell_0434,ductal
1036,human4_lib3.final_cell_0435,activated_stellate
1037,human4_lib3.final_cell_0436,gamma
1038,human4_lib3.final_cell_0437,beta
1039,human4_lib3.final_cell_0438,alpha
1040,human4_lib3.final_cell_0439,ductal
1041,human4_lib3.final_cell_0440,beta
1042,human4_lib3.final_cell_0441,ductal
1043,human4_lib3.final_cell_0442,activated_stellate
1044,human4_lib3.final_cell_0443,gamma
1045,human4_lib3.final_cell_0444,ductal
1046,human4_lib3.final_cell_0445,alpha
1047,human4_lib3.final_cell_0446,beta
1048,human4_lib3.final_cell_0447,beta
1049,human4_lib3.final_cell_0448,ductal
1050,human4_lib3.final_cell_0449,beta
1051,human4_lib3.final_cell_0450,beta
1052,human4_lib3.final_cell_0451,delta
1053,human4_lib3.final_cell_0452,gamma
1054,human4_lib3.final_cell_0453,ductal
1055,human4_lib3.final_cell_0454,beta
1056,human4_lib3.final_cell_0455,beta
1057,human4_lib3.final_cell_0456,beta
1058,human4_lib3.final_cell_0457,beta
1059,human4_lib3.final_cell_0458,beta
1060,human4_lib3.final_cell_0459,activated_stellate
1061,human4_lib3.final_cell_0460,beta
1062,human4_lib3.final_cell_0461,alpha
1063,human4_lib3.final_cell_0462,ductal
1064,human4_lib3.final_cell_0463,beta
1065,human4_lib3.final_cell_0464,gamma
1066,human4_lib3.final_cell_0465,ductal
1067,human4_lib3.final_cell_0466,beta
1068,human4_lib3.final_cell_0467,beta
1069,human4_lib3.final_cell_0468,alpha
1070,human4_lib3.final_cell_0469,activated_stellate
1071,human4_lib3.final_cell_0470,beta
1072,human4_lib3.final_cell_0471,alpha
1073,human4_lib3.final_cell_0472,beta
1074,human4_lib3.final_cell_0473,beta
1075,human4_lib3.final_cell_0474,alpha
1076,human4_lib3.final_cell_0475,ductal
1077,human4_lib3.final_cell_0476,beta
1078,human4_lib3.final_cell_0477,alpha
1079,human4_lib3.final_cell_0478,beta
1080,human4_lib3.final_cell_0479,ductal
1081,human4_lib3.final_cell_0480,beta
1082,human4_lib3.final_cell_0481,delta
1083,human4_lib3.final_cell_0482,alpha
1084,human4_lib3.final_cell_0483,beta
1085,human4_lib3.final_cell_0484,alpha
1086,human4_lib3.final_cell_0485,alpha
1087,human4_lib3.final_cell_0486,ductal
1088,human4_lib3.final_cell_0487,beta
1089,human4_lib3.final_cell_0488,alpha
1090,human4_lib3.final_cell_0489,beta
1091,human4_lib3.final_cell_0490,beta
1092,human4_lib3.final_cell_0491,beta
1093,human4_lib3.final_cell_0492,beta
1094,human4_lib3.final_cell_0493,beta
1095,human4_lib3.final_cell_0494,beta
1096,human4_lib3.final_cell_0495,alpha
1097,human4_lib3.final_cell_0496,ductal
1098,human4_lib3.final_cell_0497,endothelial
1099,human4_lib3.final_cell_0498,alpha
1100,human4_lib3.final_cell_0499,delta
1101,human4_lib3.final_cell_0500,beta
1102,human4_lib3.final_cell_0501,alpha
1103,human4_lib3.final_cell_0502,beta
1104,human4_lib3.final_cell_0503,beta
1105,human4_lib3.final_cell_0504,alpha
1106,human4_lib3.final_cell_0505,beta
1107,human4_lib3.final_cell_0506,beta
1108,human4_lib3.final_cell_0507,ductal
1109,human4_lib3.final_cell_0508,beta
1110,human4_lib3.final_cell_0509,alpha
1111,human4_lib3.final_cell_0510,ductal
1112,human4_lib3.final_cell_0511,beta
1113,human4_lib3.final_cell_0512,beta
1114,human4_lib3.final_cell_0513,gamma
1115,human4_lib3.final_cell_0514,beta
1116,human4_lib3.final_cell_0515,beta
1117,human4_lib3.final_cell_0516,ductal
1118,human4_lib3.final_cell_0517,ductal
1119,human4_lib3.final_cell_0518,beta
1120,human4_lib3.final_cell_0519,beta
1121,human4_lib3.final_cell_0520,alpha
1122,human4_lib3.final_cell_0521,alpha
1123,human4_lib3.final_cell_0522,alpha
1124,human4_lib3.final_cell_0523,alpha
1125,human4_lib3.final_cell_0524,activated_stellate
1126,human4_lib3.final_cell_0525,alpha
1127,human4_lib3.final_cell_0526,alpha
1128,human4_lib3.final_cell_0527,alpha
1129,human4_lib3.final_cell_0528,alpha
1130,human4_lib3.final_cell_0529,gamma
1131,human4_lib3.final_cell_0530,ductal
1132,human4_lib3.final_cell_0531,alpha
1133,human4_lib3.final_cell_0532,alpha
1134,human4_lib3.final_cell_0533,beta
1135,human4_lib3.final_cell_0534,beta
1136,human4_lib3.final_cell_0535,beta
1137,human4_lib3.final_cell_0536,ductal
1138,human4_lib3.final_cell_0537,alpha
1139,human4_lib3.final_cell_0538,alpha
1140,human4_lib3.final_cell_0539,beta
1141,human4_lib3.final_cell_0540,alpha
1142,human4_lib3.final_cell_0541,alpha
1143,human4_lib3.final_cell_0542,beta
1144,human4_lib3.final_cell_0543,beta
1145,human4_lib3.final_cell_0544,delta
1146,human4_lib3.final_cell_0545,ductal
1147,human4_lib3.final_cell_0546,alpha
1148,human4_lib3.final_cell_0547,beta
1149,human4_lib3.final_cell_0548,beta
1150,human4_lib3.final_cell_0549,ductal
1151,human4_lib3.final_cell_0550,beta
1152,human4_lib3.final_cell_0551,beta
1153,human4_lib3.final_cell_0552,beta
1154,human4_lib3.final_cell_0553,beta
1155,human4_lib3.final_cell_0554,beta
1156,human4_lib3.final_cell_0555,beta
1157,human4_lib3.final_cell_0556,ductal
1158,human4_lib3.final_cell_0557,beta
1159,human4_lib3.final_cell_0558,alpha
1160,human4_lib3.final_cell_0559,alpha
1161,human4_lib3.final_cell_0560,alpha
1162,human4_lib3.final_cell_0561,alpha
1163,human4_lib3.final_cell_0562,beta
1164,human4_lib3.final_cell_0563,alpha
1165,human4_lib3.final_cell_0564,beta
1166,human4_lib3.final_cell_0565,alpha
1167,human4_lib3.final_cell_0566,gamma
1168,human4_lib3.final_cell_0567,beta
1169,human4_lib3.final_cell_0568,gamma
1170,human4_lib3.final_cell_0569,beta
1171,human4_lib3.final_cell_0570,gamma
1172,human4_lib3.final_cell_0571,beta
1173,human4_lib3.final_cell_0572,beta
1174,human4_lib3.final_cell_0573,alpha
1175,human4_lib3.final_cell_0574,macrophage
1176,human4_lib3.final_cell_0575,ductal
1177,human4_lib3.final_cell_0576,beta
1178,human4_lib3.final_cell_0577,alpha
1179,human4_lib3.final_cell_0578,alpha
1180,human4_lib3.final_cell_0579,beta
1181,human4_lib3.final_cell_0580,beta
1182,human4_lib3.final_cell_0581,delta
1183,human4_lib3.final_cell_0582,beta
1184,human4_lib3.final_cell_0583,beta
1185,human4_lib3.final_cell_0584,beta
1186,human4_lib3.final_cell_0585,beta
1187,human4_lib3.final_cell_0586,alpha
1188,human4_lib3.final_cell_0587,ductal
1189,human4_lib3.final_cell_0588,alpha
1190,human4_lib3.final_cell_0589,alpha
1191,human4_lib3.final_cell_0590,activated_stellate
1192,human4_lib3.final_cell_0591,gamma
1193,human4_lib3.final_cell_0592,beta
1194,human4_lib3.final_cell_0593,beta
1195,human4_lib3.final_cell_0594,ductal
1196,human4_lib3.final_cell_0595,ductal
1197,human4_lib3.final_cell_0596,alpha
1198,human4_lib3.final_cell_0597,beta
1199,human4_lib3.final_cell_0598,alpha
1200,human4_lib3.final_cell_0599,delta
1201,human4_lib3.final_cell_0600,activated_stellate
1202,human4_lib3.final_cell_0601,beta
1203,human4_lib3.final_cell_0602,ductal
1204,human4_lib3.final_cell_0603,alpha
1205,human4_lib3.final_cell_0604,endothelial
1206,human4_lib3.final_cell_0605,beta
1207,human4_lib3.final_cell_0606,beta
1208,human4_lib3.final_cell_0607,ductal
1209,human4_lib3.final_cell_0608,alpha
1210,human4_lib3.final_cell_0609,beta
1211,human4_lib3.final_cell_0610,beta
1212,human4_lib3.final_cell_0611,ductal
1213,human4_lib3.final_cell_0612,beta
1214,human4_lib3.final_cell_0613,ductal
1215,human4_lib3.final_cell_0614,alpha
1216,human4_lib3.final_cell_0615,alpha
1217,human4_lib3.final_cell_0616,alpha
1218,human4_lib3.final_cell_0617,gamma
1219,human4_lib3.final_cell_0618,beta
1220,human4_lib3.final_cell_0619,beta
1221,human4_lib3.final_cell_0620,alpha
1222,human4_lib3.final_cell_0621,beta
1223,human4_lib3.final_cell_0622,gamma
1224,human4_lib3.final_cell_0623,beta
1225,human4_lib3.final_cell_0624,beta
1226,human4_lib3.final_cell_0625,beta
1227,human4_lib3.final_cell_0626,beta
1228,human4_lib3.final_cell_0627,beta
1229,human4_lib3.final_cell_0628,ductal
1230,human4_lib3.final_cell_0629,alpha
1231,human4_lib3.final_cell_0630,beta
1232,human4_lib3.final_cell_0631,beta
1233,human4_lib3.final_cell_0632,beta
1234,human4_lib3.final_cell_0633,beta
1235,human4_lib3.final_cell_0634,beta
1236,human4_lib3.final_cell_0635,alpha
1237,human4_lib3.final_cell_0636,beta
1238,human4_lib3.final_cell_0637,gamma
1239,human4_lib3.final_cell_0638,beta
1240,human4_lib3.final_cell_0639,ductal
1241,human4_lib3.final_cell_0640,alpha
1242,human4_lib3.final_cell_0641,alpha
1243,human4_lib3.final_cell_0642,ductal
1244,human4_lib3.final_cell_0643,gamma
1245,human4_lib3.final_cell_0644,activated_stellate
1246,human4_lib3.final_cell_0645,alpha
1247,human4_lib3.final_cell_0646,alpha
1248,human4_lib3.final_cell_0647,alpha
1249,human4_lib3.final_cell_0648,alpha
1250,human4_lib3.final_cell_0649,alpha
1251,human4_lib3.final_cell_0650,ductal
1252,human4_lib3.final_cell_0651,beta
1253,human4_lib3.final_cell_0652,alpha
1254,human4_lib3.final_cell_0653,beta
1255,human4_lib3.final_cell_0654,activated_stellate
1256,human4_lib3.final_cell_0655,delta
1257,human4_lib3.final_cell_0656,ductal
1258,human4_lib3.final_cell_0657,beta
1259,human4_lib3.final_cell_0658,alpha
1260,human4_lib3.final_cell_0659,gamma
1261,human4_lib3.final_cell_0660,alpha
1262,human4_lib3.final_cell_0661,beta
1263,human4_lib3.final_cell_0662,mast
1264,human4_lib3.final_cell_0663,beta
1265,human4_lib3.final_cell_0664,ductal
1266,human4_lib3.final_cell_0665,beta
1267,human4_lib3.final_cell_0666,ductal
1268,human4_lib3.final_cell_0667,beta
1269,human4_lib3.final_cell_0668,beta
1270,human4_lib3.final_cell_0669,beta
1271,human4_lib3.final_cell_0670,schwann
1272,human4_lib3.final_cell_0671,alpha
1273,human4_lib3.final_cell_0672,ductal
1274,human4_lib3.final_cell_0673,beta
1275,human4_lib3.final_cell_0674,beta
1276,human4_lib3.final_cell_0675,beta
1277,human4_lib3.final_cell_0676,ductal
1278,human4_lib3.final_cell_0677,ductal
1279,human4_lib3.final_cell_0678,beta
1280,human4_lib3.final_cell_0679,ductal
1281,human4_lib3.final_cell_0680,delta
1282,human4_lib3.final_cell_0681,alpha
1283,human4_lib3.final_cell_0682,alpha
1284,human4_lib3.final_cell_0683,quiescent_stellate
1285,human4_lib3.final_cell_0684,beta
1286,human4_lib3.final_cell_0685,beta
1287,human4_lib3.final_cell_0686,activated_stellate
1288,human4_lib3.final_cell_0687,beta
1289,human4_lib3.final_cell_0688,beta
1290,human4_lib3.final_cell_0689,alpha
1291,human4_lib3.final_cell_0690,beta
1292,human4_lib3.final_cell_0691,beta
1293,human4_lib3.final_cell_0692,beta
1294,human4_lib3.final_cell_0693,beta
1295,human4_lib3.final_cell_0694,alpha
1296,human4_lib3.final_cell_0695,beta
1297,human4_lib3.final_cell_0696,beta
1298,human4_lib3.final_cell_0697,activated_stellate
1299,human4_lib3.final_cell_0698,alpha
1300,human4_lib3.final_cell_0699,beta
1301,human4_lib3.final_cell_0700,beta
1302,human4_lib3.final_cell_0701,ductal
